win,fga,fgm,tpa,tpm,fta,ftm,oreb,dreb,reb,ast,stl,blk,pf,tov,fbpts,fbptsa,fbptsm,pip,pipa,pipm,ble,bpts,tf,scp,tmreb,tmtov,potov,home,away,date
0.0,0,-3,-7,-5,6,2,-1,-8,-9,-4,7,-2,-4,-4,6,1,3,-2,-2,-1,-4,21,0,1,-2,-1,2,NYK,MIA,2019-01-28
0.0,20,-2,2,-4,-5,-2,10,-11,-1,-7,7,-8,5,-7,-16,-4,-6,8,17,4,3,21,-4,6,-4,1,7,PHX,GSW,2019-02-09
1.0,10,0,13,-2,7,10,2,-6,-4,3,5,-2,-6,-5,8,3,4,0,-3,0,10,12,-2,6,11,2,13,HOU,ATL,2019-02-26
0.0,1,-9,7,0,7,6,3,-7,-4,-5,-5,2,-8,2,-5,-5,-4,-14,-4,-7,-4,-10,1,2,-3,-3,-2,ATL,CHI,2018-10-27
0.0,15,1,-1,-2,-5,-6,3,-5,-2,-5,2,-2,3,-7,-5,-5,-1,0,9,0,-12,6,0,5,5,2,1,IND,PHI,2018-11-08
1.0,6,6,-2,5,-4,-5,1,1,2,4,-3,1,1,-1,-6,2,1,0,3,0,17,5,-1,8,-1,0,-3,SAS,GSW,2018-11-19
1.0,15,19,9,10,-19,-15,3,8,11,12,-1,3,6,-3,11,6,5,22,13,11,30,6,0,9,-1,0,2,BOS,CLE,2018-12-01
1.0,6,-2,5,8,5,1,0,-8,-8,0,3,-5,-8,-3,7,7,1,-16,-3,-8,-12,10,0,8,4,-1,4,SAC,NOP,2018-12-23
0.0,-7,-2,-5,-1,-5,-5,-9,-9,-18,-7,1,2,-1,-3,-1,-3,0,0,-1,0,-27,-14,2,-17,-1,0,-5,PHX,LAC,2019-01-05
1.0,10,12,5,9,10,5,3,7,10,8,6,0,-2,-10,15,11,7,8,11,4,34,19,0,12,3,-1,16,MIL,MIA,2019-01-16
0.0,-4,0,-8,-4,2,1,-4,-1,-5,-4,0,5,4,2,3,4,0,4,0,2,-2,-14,0,-2,6,0,5,CHI,CLE,2019-01-27
